"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"C1";"C_0603_HandSoldering";1;"0,1uF";;;
2;"C2";"C_0603_HandSoldering";1;"10uF";;;
3;"C3,C5";"C_0603_HandSoldering";2;"1nF";;;
4;"C4";"C_0603_HandSoldering";1;"0,1nF";;;
5;"D1";"LED_0402";1;"LED_Rojo";;;
6;"D2";"LED_0402";1;"LED_Verde";;;
7;"D3";"LED_0402";1;"LED_Amarillo";;;
8;"J1";"CON_PALETA_3";1;"UART";;;
9;"SW1";"SW_PUSH_6mm";1;"Reset";;;
10;"SW2";"SW_Micro_SPST";1;"Boot";;;
11;"U1";"ESP32-WROOM";1;"ESP32-WROOM";;;
12;"XA1";"Conn_Poncho_Derecha";1;"Conn_Poncho2P_2x_20x2";;;
13;"F1,F2,F3";"Fiducial_1mm";3;"FIDUCIAL";;;
14;"G1";"Logo_Poncho";1;"WIFI-BLTH";;;
15;"R1,R4,R5";"R_0805_HandSoldering";3;"402";;;
16;"R2";"R_0805_HandSoldering";1;"10k";;;
17;"R3,R6";"R_0805_HandSoldering";2;"470";;;
18;"R7,R8";"R_0805_HandSoldering";2;"5k";;;
